"Data Source","World Development Indicators",

"Last Updated Date","2019-10-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Aruba","ABW","Oil rents (% of GDP)","NY.GDP.PETR.RT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Afghanistan","AFG","Oil rents (% of GDP)","NY.GDP.PETR.RT.ZS","","","","","","","","","","","0.0177889919988865","0.0294247030075833","0.0331009512386763","0.0554377144704201","0.18246430638044","0.393058059485199","0.570591379239737","0.653526571800843","0.612869653053416","1.27240044798532","1.41673784549765","1.36949780700253","","","","","","","","","","","","","","","","","","","","","0.0291341214862826","0.0267107103270656","0.0254114728302291","0.0259703803814524","0.0221363597561716","0.0146989186251218","0.0161232819346973","0.0054429708125438","0.00497396909038234","0.00661517051534691","0.110330689483207","0.00402919578264212","0.00316891899047458","0.00107623018120805","0.000824121640284273","0.00125468841072462","",
"Angola","AGO","Oil rents (% of GDP)","NY.GDP.PETR.RT.ZS","","","","","","","","","","","","","","","","","","","","","19.0129431965804","8.62159126170228","3.93834825285214","9.90090609199197","15.7633599533077","14.4716846392438","6.41985799249165","16.5604465090263","14.8718227488443","22.078815239243","27.8912256986462","16.2368232913906","26.5884311129042","31.7824969533162","36.3737303517747","38.184356071953","41.247315429444","35.6873743879999","15.824081983958","37.7062331005017","54.5602781355861","36.8057866933434","26.2661915821936","23.2712984296972","35.2754070482662","44.4634459193622","43.3210245803578","46.9871858250561","56.1386991618025","31.1942874961589","38.5343680870647","39.4421357140211","35.2450803486407","30.0449400958987","22.9884845553482","10.3183381025511","10.168704920456","15.7539134214684","",
"Albania","ALB","Oil rents (% of GDP)","NY.GDP.PETR.RT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","13.0935189092439","13.194782212452","4.8823579715477","8.00918774728111","4.935915099494","7.72281403450516","7.5929525967309","4.12546857920509","4.16588583859103","1.92551906503648","1.39863875022915","1.01568982959704","1.0563457233691","1.13651064789514","0.173116443143246","0.462285416417314","0.944875698330427","0.651207115263867","0.662720103608695","0.686668462935854","0.681280493699068","0.924210607527325","1.13878295573156","0.987864800765192","1.01368714403843","0.746210289296239","1.49943622211429","2.66743853696249","3.02352381084306","3.07786369778015","3.00667557986343","1.35239888655596","0.853420934523584","1.36575244280874","",
"Andorra","AND","Oil rents (% of GDP)","NY.GDP.PETR.RT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Oil rents (% of GDP)","NY.GDP.PETR.RT.ZS","","","","","","","","","","","12.9540669140409","14.7514640536664","16.5821782197908","21.550241677208","48.026695767894","38.8127611137723","39.3881819690506","37.486244210039","34.102871909979","58.3265070667735","51.7944175137559","38.8630622929595","25.3099033231593","24.8922362529093","24.3315437638385","21.4635403449901","13.4447834884465","17.4904932096462","16.5888186885005","23.7716139976059","24.0100382196971","19.9700912766362","20.7122014559067","20.0439102254523","18.2603738691607","18.9193624377304","22.0368435340683","18.8638816193774","12.4427809118859","16.3076409314706","25.4503071747371","20.5275258882636","19.9001990960339","23.0322140250924","28.446958330041","34.7210490652916","35.1238756348479","32.1927745183977","36.1717551888207","22.4337860017097","26.6797008171698","33.8549551116364","32.9810526570727","30.1284922036376","26.7705366211091","15.344853955143","12.8178457528738","16.3906357358794","",
"United Arab Emirates","ARE","Oil rents (% of GDP)","NY.GDP.PETR.RT.ZS","","","","","","","","","","","","","","","","41.6318916598601","40.7208189223127","34.9759040179124","34.0718061725625","60.011690285054","46.4993394164607","31.3302160719875","22.4408052902827","22.9491205297747","22.9820871599761","23.7626941257069","15.8734896077305","23.7215159932582","20.0151523746901","29.181701386824","36.2403877924661","24.3851822898586","23.0953585299612","20.2618621029263","17.5848489632949","17.493523563352","19.9185110748083","17.0559536052039","11.242797542968","14.1755201892725","21.1952643053963","16.2852345856738","14.6585574339475","17.1513700067568","20.083738479865","24.8031358109142","25.0780090120565","22.8673029454301","27.3836264525241","17.9861933317092","21.6886589530757","28.7898070657083","28.4983146438423","25.7748667864235","23.0457920114219","13.1298798647501","10.8278815920281","13.131343752479","",
"Argentina","ARG","Oil rents (% of GDP)","NY.GDP.PETR.RT.ZS","","","","","","","","","","","0.267910975226589","0.393252859963052","0.439945261116326","0.4616907681909","1.71642103306898","2.17589634261538","2.43570422346332","2.01041904237289","2.26992257324773","5.04066559100278","5.94262415051018","4.94068372505507","2.87368188508349","3.05249765226917","3.78465751357738","3.13370854206049","1.04649292529285","1.64328140829452","1.13272762384163","2.82599114327333","2.23088221637832","0.94556440014239","0.964505997465871","0.963968160116194","0.886982801167758","1.06636776680628","1.42029256827828","1.2491888833875","0.638974350428515","1.14619832284431","2.05172711204458","1.56398476755749","4.62345217956551","4.07632283867351","3.97115577520865","4.68366991826191","4.66084925348569","3.76962743422329","4.05474156030357","2.15762242476368","2.38112090764814","2.75591289755993","2.58098920052121","2.3638724254743","2.15572927411626","0.742371920352042","0.55245226765377","0.73582402708323","",
"Armenia","ARM","Oil rents (% of GDP)","NY.GDP.PETR.RT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"American Samoa","ASM","Oil rents (% of GDP)","NY.GDP.PETR.RT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
